Program,Sub Program,Description,"Approved Estimates
(Kshs.)","Actual Expenditure
(Kshs.)","Absorption
Rate (%)",page_number,table_index
102003000,,,"673,073,004","655,763,773",97.4,453,1
,102024610,Crop Productivity Improvement,"673,073,004","655,763,773",97.4,453,1
103003000,,,"169,790,126","160,928,069",94.8,453,1
,103014610,"Livestock Pests & Disease Management &
Control","66,673,834","59,448,527",89.2,454,0
,103074610,Livestock Information Management,"103,116,292","101,479,542",98.4,454,0
104003000,,,"58,337,187","2,385,880",4.1,454,0
,104014610,Fish Products Production,"58,337,187","2,385,880",4.1,454,0
105003000,,,"47,881,099","46,357,249",96.8,454,0
,105014610,Development Planning and Land Reforms,"47,881,099","46,357,249",96.8,454,0
106003000,,,"165,126,655","102,996,000",62.4,454,0
,106014610,Housing Development,"165,126,655","102,996,000",62.4,454,0
107003000,,,"309,856,765","303,232,032",97.9,454,0
,107014610,"Metropolitan Planning & Infrastructure
Development","309,856,765","303,232,032",97.9,454,0
201003000,,,"1,751,934,137","1,643,254,591",93.8,454,0
,201014610,"General Administration, Planning and
Support Services","75,139,698","70,158,668",93.4,454,0
,201024610,Construction of Roads and Bridges,"1,594,918,318","1,498,836,379",94.0,454,0
,201034610,Maintenance of Roads,"81,876,121","74,259,544",90.7,454,0
202003000,,,"144,260,000","131,494,351",91.2,454,0
,202014610,ICT Infrastructure Development,"144,260,000","131,494,351",91.2,454,0
208000000,,Information And Communication Services,"59,150,000","43,000,500",72.7,454,0
,208049999,E-Government Services,"59,150,000","43,000,500",72.7,454,0
301003000,,,"657,034,399","637,671,646",97.1,454,0
,301014610,Administrative Services,"6,385,168","5,185,160",81.2,454,0
,301024610,Cooperative Development & Management,"19,774,463","18,255,316",92.3,454,0
,301034610,Trade Development and Promotion,"630,874,768","614,231,170",97.4,454,0
303003000,,,"468,471,796","415,962,930",88.8,454,0
,303014610,Tourism Promotion and Marketing,"468,471,796","415,962,930",88.8,454,0
306000000,,Tourism Development and Promotion,"75,249,999",-,-,454,0
,306039999,Tourism Infrastructure Development,"75,249,999",-,-,454,0
401003000,,,"488,750,000","413,217,593",84.5,454,0
,401014610,Health Promotion,"488,750,000","413,217,593",84.5,454,0
402003000,,,"356,111,363","354,179,824",99.5,454,0
,402014610,Referral Services,"356,111,363","354,179,824",99.5,454,0
403003000,,,"2,499,541,415","2,458,961,121",98.4,454,0
,403014610,"Health Policy, Planning and Financing","2,499,541,415","2,458,961,121",98.4,454,0
502003000,,,"1,537,090,804","1,463,549,380",95.2,454,0
,502014610,Early Child Development and Education,"1,537,090,804","1,463,549,380",95.2,454,0
701003000,,,"1,261,025,685","1,066,797,753",84.6,454,0
,701014610,Administrative Services,"400,646,203","316,731,229",79.1,454,0
,701044610,Coordination and Administrative Services,"413,483,334","340,037,259",82.2,454,0
,701054610,"Public Service and Field Administrative
Services","318,218,144","294,092,890",92.4,454,0
,701084610,Board Management Services,"128,678,004","115,936,375",90.1,454,0
